Estado,i,f,e,l,s,w,h,T,R,U,E,F,A,L,S,M,X,+,-,*,/,%,),(,n,t,g,r,a,b,o,u,{,},=,!,>,<,;,&,|,c,d,j,k,m,p,q,v,x,y,z,0,1,2,3,4,5,6,7,8,9
24,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,40,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69
25,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,41,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69
26,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,26,26,26,26,26,26,26,26,26,26,69
27,2,2,2,2,2,2,2,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,2,2,2,2,2,2,2,2,69,69,69,69,69,69,69,69,69,2,2,2,2,2,2,2,2,2,2,2,69,69,69,69,69,69,69,69,69,69,69
28,2,2,2,2,2,2,2,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,2,42,2,2,2,2,2,2,69,69,69,69,69,69,69,69,69,2,2,2,2,2,2,2,2,2,2,2,69,69,69,69,69,69,69,69,69,69,69
29,2,2,2,2,43,2,2,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,2,2,2,2,2,2,2,2,69,69,69,69,69,69,69,69,69,2,2,2,2,2,2,2,2,2,2,2,69,69,69,69,69,69,69,69,69,69,69
30,44,2,2,2,2,2,2,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,2,2,2,2,2,2,2,2,69,69,69,69,69,69,69,69,69,2,2,2,2,2,2,2,2,2,2,2,69,69,69,69,69,69,69,69,69,69,69
31,69,69,69,69,69,69,69,69,69,45,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69
32,69,69,69,69,69,69,69,69,69,69,69,69,69,46,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69
33,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,47,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69
34,2,2,2,2,2,2,2,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,2,48,2,2,49,2,2,2,69,69,69,69,69,69,69,69,69,2,2,2,2,2,2,2,2,2,2,2,69,69,69,69,69,69,69,69,69,69,69
